ppid,status,name,brand,stars,reviews,questions,answers,love,price,size,category,countries,stars1,stars2,stars3,stars4,stars5,discontinued
duoP395924,full,Midnight Magic Eye Liner Duo,Stila,,,,,,,,,,0,0,0,0,0,True
hypnotistP388501,full,Marvelous Moxie® Lipgloss in Hypnotist,Bareminerals,,,,,,,,,,0,0,0,0,0,True
P0013,full,Complexion Extractor with Lance,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0096,full,Face Complexion Brush,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0249,full,Single Eye Shadow,Nars,,,,,,,,,,0,0,0,0,0,True
P0250,full,Duo Eyeshadow,Nars,,,,,,,,,,0,0,0,0,0,True
P0277,full,Liquid Eyeliner,Dior,,,,,,,,,,0,0,0,0,0,True
P0327,full,Eye Liner Pencil,Nars,,,,,,,,,,0,0,0,0,0,True
P0402,full,Cellulose Sponge Set,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0412,full,Stainless Steel Thinning Shears,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0414,full,Eyelash Curler,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0417,full,Double-Ended Blemish Extractor,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P0732,full,Météorites Powder Brush,Guerlain,,,,,,,,,,0,0,0,0,0,True
P0734,full,Issima Midnight Secret,Guerlain,,,,,,,,,,0,0,0,0,0,True
P0766,full,l’Heure Bleue,Guerlain,,,,,,,,,,0,0,0,0,0,True
P0771,full,Shalimar Eau de Toilette,Guerlain,,,,,,,,,,0,0,0,0,0,True
P0782,full,Amarige,Givenchy,,,,,,,,,,0,0,0,0,0,True
P0819,full,Chrome,Azzaro,,,,,,,,,,0,0,0,0,0,True
P0841,full,Burberry Classic For Men,Burberry,,,,,,,,,,0,0,0,0,0,True
P0845,full,Pour Femme,Bvlgari,,,,,,,,,,0,0,0,0,0,True
P0847,full,Eau Parfumée Au Thé Vert,Bvlgari,,,,,,,,,,0,0,0,0,0,True
P0901,full,Pour Homme,Dolce&Gabbana,,,,,,,,,,0,0,0,0,0,True
P0950,full,Givenchy Gentleman,Givenchy,,,,,,,,,,0,0,0,0,0,True
P0956,full,Pi,Givenchy,,,,,,,,,,0,0,0,0,0,True
P0960,full,Xeryus Rouge,Givenchy,,,,,,,,,,0,0,0,0,0,True
P0974,full,Hanae Mori Butterfly Eau de Toilette,Hanae Mori,,,,,,,,,,0,0,0,0,0,True
P0976,full,HM,Hanae Mori,,,,,,,,,,0,0,0,0,0,True
P0999,full,Pour Homme,Kenzo,,,,,,,,,,0,0,0,0,0,True
P100101,full,Crushed Cabernet Scrub,Caudalie,4.5105,143.0,7.0,20.0,4722.0,38.0,5.3 oz/ 150 g,Bath & Body:Bath & Shower:Scrub & Exfoliants,GB,0,4,9,40,90,False
P1002,full,L’eauParKenzo,Kenzo,,,,,,,,,,0,0,0,0,0,True
P100613,full,Double Ended Precision Brush,Bareminerals,,,,,,,,,,0,0,0,0,0,True
P101916,full,Firm and Tone Serum,Murad,3.6849,73.0,6.0,10.0,1720.0,60.0,6.75 oz,Bath & Body:Body Care:Cellulite & Stretch Marks,JP:KR:NL:GB:DE:CA:NO,12,5,8,17,31,False
P101917,full,Firm and Tone Dietary Supplement Pack,Murad,3.9286,70.0,20.0,17.0,3548.0,138.0,28 Daily Packettes,Bath & Body:Body Care:Cellulite & Stretch Marks,JP:KR:NL:GB:DE:CA:NO,8,5,5,18,34,False
P102308,full,Phytocyane Densifying Treatment Shampoo ,Phyto,4.232,194.0,28.0,56.0,2532.0,26.0,6.7 oz,Hair:Shampoo & Conditioner:Shampoo,CA,9,10,19,45,111,False
P102503,full,Wrinkle Revenge Rescue & Protect Facial Cream,Dermadoctor,4.2283,92.0,2.0,22.0,1240.0,57.0,1.7 oz/ 50 mL,Skincare:Moisturizers:Moisturizers,,6,5,5,22,54,False
P102504,full,Wrinkle Revenge Eye Balm,Dermadoctor,4.0591,372.0,12.0,71.0,4614.0,50.0,0.5 oz/ 15 mL,Skincare:Eye Care:Eye Creams & Treatments,,32,22,36,84,198,False
P102813,full,HYPNOSE WATERPROOF - Custom Volume Mascara,Lancôme,3.9668,331.0,4.0,26.0,3422.0,27.5,,Makeup:Eye:Mascara,JP:SE:KR:NL:GB:DE:NO,31,27,41,55,177,False
P104006,full,Blush/Bronzer Duo,Nars,4.4958,2473.0,70.0,366.0,65912.0,42.0,0.35 oz/ 10.5 g,Makeup:Cheek:Bronzer,JP:SE:KR:NL:GB:AU:DE:NO,39,88,169,489,1688,False
P104340,full,Moisturizing Lip Balm,L’Occitane,3.6435,216.0,5.0,26.0,3291.0,12.0,0.4 oz/ 12 mL,Skincare:Lip Treatments:Lip Balms & Treatments,JP:KR:NL:GB:AU:DE:NO,35,22,22,43,94,False
P104914,full,Diorskin Airflash Spray Foundation,Dior,4.4004,3062.0,379.0,804.0,62803.0,62.0,,Makeup:Face:Foundation,JP:SE:KR:NL:GB:AU:DE:NO,116,145,191,555,2057,False
P105102,full,Face & Eye Travel Tool Kit,Sephora Collection,,,,,,,,,,0,0,0,0,0,True
P10539874,full,Detox Dry Shampoo Duo,Drybar,,,,,,,,,,0,0,0,0,0,True
